car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
PM6,BLK 245A PASIR RIS STREET 21,42477.8773,39204.2227,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM7,BLK 257A PASIR RIS STREET 21,42459.8111,38843.4823,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM8,BLK 458A PASIR RIS DRIVE 4,42126.5924,39294.429,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM9,BLK 216A PASIR RIS STREET 21,42233.462,38924.6687,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP1,BLK 101 TO 109 POTONG PASIR AVENUE 1,31994.78,35133.03,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP2,BLK 143 TO 145 POTONG PASIR AVENUE 2/3,31643.1687,34986.5402,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP3,BLK 134 TO 142 POTONG PASIR AVENUE 3,31619.7981,35088.4721,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP4,BLK 121 TO 133 POTONG PASIR AVENUE 1,31650.3687,35213.5248,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP5,BLK 113 TO 120 POTONG PASIR AVENUE 1,31328.03,35388.25,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP6,BLK 146 POTONG PASIR AVENUE 2,31816.7963,34942.7097,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PP9T,BLK 145 POTONG PASIR AVENUE 2/3,31643.7896,34932.8598,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PRM,BLK 33 PARK CRESCENT MSCP,28996.2194,29764.092,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,1.6,0.6,0.65,0.65
